sample	strainID	count	count_correct	f	f_correct
EVO_p6_3C	HAMBI_0262	31	1	0.0162388685175485	0.000523286237571952
EVO_p6_3C	HAMBI_0403	63	76	0.0330015715034049	0.0397697540554683
EVO_p6_3C	HAMBI_1279	38	31	0.0199057097957046	0.0162218733647305
EVO_p6_3C	HAMBI_1287	17	81	0.00890518596123625	0.0423861852433281
EVO_p6_3C	HAMBI_1292	26	122	0.0136196961760084	0.0638409209837781
EVO_p6_3C	HAMBI_1299	1	30	0.000523834468308015	0.0156985871271586
EVO_p6_3C	HAMBI_1842	78	38	0.0408590885280251	0.0198848770277342
EVO_p6_3C	HAMBI_1896	22	38	0.0115243583027763	0.0198848770277342
EVO_p6_3C	HAMBI_1972	7	10	0.0036668412781561	0.00523286237571952
EVO_p6_3C	HAMBI_1977	21	25	0.0110005238344683	0.0130821559392988
EVO_p6_3C	HAMBI_1988	116	100	0.0607647983237297	0.0523286237571952
EVO_p6_3C	HAMBI_2159	50	81	0.0261917234154007	0.0423861852433281
EVO_p6_3C	HAMBI_2160	51	61	0.0267155578837087	0.0319204604918891
EVO_p6_3C	HAMBI_2164	169	188	0.0885280251440545	0.098377812663527
EVO_p6_3C	HAMBI_2443	3	106	0.00157150340492404	0.0554683411826269
EVO_p6_3C	HAMBI_2494	20	40	0.0104766893661603	0.0209314495028781
EVO_p6_3C	HAMBI_2659	776	235	0.406495547407019	0.122972265829409
EVO_p6_3C	HAMBI_2792	3	2	0.00157150340492404	0.0010465724751439
EVO_p6_3C	HAMBI_3031	59	31	0.0309062336301729	0.0162218733647305
EVO_p6_3C	HAMBI_3237	0	0	0	0
ANC_p2_2C	HAMBI_0006	10	2	0.00577034045008656	0.00115406809001731
ANC_p2_2C	HAMBI_0097	26	28	0.015002885170225	0.0161569532602424
ANC_p2_2C	HAMBI_0105	4	432	0.00230813618003462	0.249278707443739
ANC_p2_2C	HAMBI_0262	11	0	0.00634737449509521	0
ANC_p2_2C	HAMBI_0403	5	5	0.00288517022504328	0.00288517022504328
ANC_p2_2C	HAMBI_1279	12	8	0.00692440854010387	0.00461627236006924
ANC_p2_2C	HAMBI_1287	9	35	0.0051933064050779	0.0201961915753029
ANC_p2_2C	HAMBI_1292	15	58	0.00865551067512983	0.033467974610502
ANC_p2_2C	HAMBI_1299	0	0	0	0
ANC_p2_2C	HAMBI_1842	16	6	0.00923254472013849	0.00346220427005193
ANC_p2_2C	HAMBI_1896	7	10	0.00403923831506059	0.00577034045008656
ANC_p2_2C	HAMBI_1972	4	5	0.00230813618003462	0.00288517022504328
ANC_p2_2C	HAMBI_1977	65	63	0.0375072129255626	0.0363531448355453
ANC_p2_2C	HAMBI_1988	10	7	0.00577034045008656	0.00403923831506059
ANC_p2_2C	HAMBI_2159	67	90	0.0386612810155799	0.051933064050779
ANC_p2_2C	HAMBI_2160	41	41	0.0236583958453549	0.0236583958453549
ANC_p2_2C	HAMBI_2164	766	702	0.44200807847663	0.405077899596076
ANC_p2_2C	HAMBI_2443	1	29	0.000577034045008655	0.016733987305251
ANC_p2_2C	HAMBI_2494	27	45	0.0155799192152337	0.0259665320253895
ANC_p2_2C	HAMBI_2659	622	155	0.358915175995384	0.0894402769763416
ANC_p2_2C	HAMBI_2792	1	1	0.000577034045008655	0.000577034045008655
ANC_p2_2C	HAMBI_3031	13	6	0.00750144258511252	0.00346220427005193
ANC_p2_2C	HAMBI_3237	1	5	0.000577034045008655	0.00288517022504328
EVO_p7_2C	HAMBI_0006	10	2	0.0111982082866741	0.00223964165733483
EVO_p7_2C	HAMBI_0097	0	0	0	0
EVO_p7_2C	HAMBI_0105	0	0	0	0
EVO_p7_2C	HAMBI_0262	2	0	0.00223964165733483	0
EVO_p7_2C	HAMBI_0403	19	16	0.0212765957446809	0.0179171332586786
EVO_p7_2C	HAMBI_1279	1	1	0.00111982082866741	0.00111982082866741
EVO_p7_2C	HAMBI_1287	18	62	0.0201567749160134	0.0694288913773796
EVO_p7_2C	HAMBI_1292	3	10	0.00335946248600224	0.0111982082866741
EVO_p7_2C	HAMBI_1299	0	0	0	0
EVO_p7_2C	HAMBI_1842	2	1	0.00223964165733483	0.00111982082866741
EVO_p7_2C	HAMBI_1896	3	4	0.00335946248600224	0.00447928331466965
