Sample	AMP_conc	control	Evo	AB	Day	Replicate
D_T4_2_d8	1.0	69 %	E1972	0	8	2
D_T4_3_d12	0.3	99 %	E1972	0	12	3
D_T4_3_d16	0.4	38 %	E1972	0	16	3
D_T4_3_d20	0.3	84 %	E1972	0	20	3
D_T4_3_d8	0.3	121 %	E1972	0	8	3
D_T4_4_d12	0.3	181 %	E1972	0	12	4
D_T4_4_d16	4.4	5 %	E1972	0	16	4
D_T4_4_d20	0.3	98 %	E1972	0	20	4
D_T4_4_d8	0.3	100 %	E1972	0	8	4
E_T1 _1_d12	0.3	106 %	E1977	5	12	1
E_T1 _1_d16	1.0	64 %	E1977	5	16	1
E_T1 _1_d20	0.5	118 %	E1977	5	20	1
E_T1 _1_d8	0.3	87 %	E1977	5	8	1
E_T1 _2_d12	0.3	116 %	E1977	5	12	2
E_T1 _2_d16	0.6	61 %	E1977	5	16	2
E_T1 _2_d20	0.3	89 %	E1977	5	20	2
E_T1 _2_d8	1.1	63 %	E1977	5	8	2
E_T1 _3_d12	0.3	106 %	E1977	5	12	3
E_T1 _3_d16	0.8	69 %	E1977	5	16	3
E_T1 _3_d20	0.3	106 %	E1977	5	20	3
E_T1 _3_d8	0.3	84 %	E1977	5	8	3
E_T1 _4_d12	0.3	79 %	E1977	5	12	4
E_T1 _4_d16	0.6	64 %	E1977	5	16	4
E_T1 _4_d20	0.3	126 %	E1977	5	20	4
E_T1 _4_d8	0.4	47 %	E1977	5	8	4
E_T2 _1_d12	0.4	93 %	E1977	50	12	1
E_T2 _1_d20	0.3	114 %	E1977	50	20	1
E_T2 _1_d8	2.1	3 %	E1977	50	8	1
E_T2 _2_d12	0.4	100 %	E1977	50	12	2
E_T2 _2_d16	0.7	54 %	E1977	50	16	2
E_T2 _2_d20	0.3	93 %	E1977	50	20	2
E_T2 _2_d8	0.4	138 %	E1977	50	8	2
E_T2 _3_d12	0.4	115 %	E1977	50	12	3
E_T2 _3_d16	2.2	41 %	E1977	50	16	3
E_T2 _3_d20	0.3	94 %	E1977	50	20	3
E_T2 _3_d8	0.4	87 %	E1977	50	8	3
E_T2 _4_d12	0.6	101 %	E1977	50	12	4
E_T2 _4_d20	0.4	93 %	E1977	50	20	4
E_T2 _4_d8	0.4	82 %	E1977	50	8	4
E_T3 _1_d12	0.3	127 %	E1977	500	12	1
E_T3 _1_d20	0.3	13 %	E1977	500	20	1
E_T3 _1_d8	1.1	5 %	E1977	500	8	1
E_T3 _2_d12	0.3	158 %	E1977	500	12	2
E_T3 _2_d16	0.7	58 %	E1977	500	16	2
E_T3 _2_d20	0.3	212 %	E1977	500	20	2
E_T3 _2_d8	0.8	48 %	E1977	500	8	2
E_T3 _3_d12	0.8	113 %	E1977	500	12	3
E_T3 _3_d16	0.5	37 %	E1977	500	16	3
E_T3 _3_d20	0.3	106 %	E1977	500	20	3
E_T3 _3_d8	0.6	56 %	E1977	500	8	3
E_T3 _4_d12	0.3	100 %	E1977	500	12	4
E_T3 _4_d16	1.1	51 %	E1977	500	16	4
E_T3 _4_d20	0.3	108 %	E1977	500	20	4
E_T3 _4_d8	7.5	8 %	E1977	500	8	4
E_T4 _1_d12	0.4	94 %	E1977	0	12	1
E_T4 _1_d16	0.7	66 %	E1977	0	16	1
E_T4 _1_d20	0.3	114 %	E1977	0	20	1
E_T4 _1_d8	0.3	105 %	E1977	0	8	1
E_T4 _2_d12	0.3	110 %	E1977	0	12	2
E_T4 _2_d16	1.6	50 %	E1977	0	16	2
E_T4 _2_d20	0.3	87 %	E1977	0	20	2
E_T4 _2_d8	0.3	114 %	E1977	0	8	2
E_T4 _3_d12	0.3	108 %	E1977	0	12	3
E_T4 _3_d16	0.6	73 %	E1977	0	16	3
E_T4 _3_d20	0.3	104 %	E1977	0	20	3
E_T4 _3_d8	0.3	95 %	E1977	0	8	3
E_T4 _4_d12	0.3	117 %	E1977	0	12	4
E_T4 _4_d16	1.2	55 %	E1977	0	16	4
E_T4 _4_d20	0.4	172 %	E1977	0	20	4
E_T4 _4_d8	0.3	128 %	E1977	0	8	4
F_T1_1_d12	0.3	109 %	EVO	5	12	1
F_T1_1_d16	1.9	13 %	EVO	5	16	1
F_T1_1_d20	0.4	103 %	EVO	5	20	1
F_T1_1_d8	0.4	32 %	EVO	5	8	1
F_T1_2_d12	0.3	102 %	EVO	5	12	2
F_T1_2_d16	0.7	58 %	EVO	5	16	2
F_T1_2_d20	0.3	69 %	EVO	5	20	2
