AB	Pop	Species	Replicate	k	auc_e
52.02458975	ANC	2443	1	0.008652941	20.185
23.12203989	ANC	2443	1	0.004194345	42248
10.27646217	ANC	2443	1	0.018517477	30.755
4.567316521	ANC	2443	1	0.006136271	12.965
2.029918454	ANC	2443	1	0.005622377	13.855
0.90218598	ANC	2443	1	0.007779677	16.845
0.400971546	ANC	2443	1	0.014875243	23.39
0	ANC	2443	1	0.65740934	1142.14
1333.333333	ANC	3031	1	0.003	7.305
592.5925926	ANC	3031	1	0.004595797	45484
263.3744856	ANC	3031	1	0.007052644	16.415
117.0553269	ANC	3031	1	0.003028322	7.545
52.02458975	ANC	3031	1	0.008015899	18.53
23.12203989	ANC	3031	1	0.006015596	32112
10.27646217	ANC	3031	1	0.0642987	43.48
4.567316521	ANC	3031	1	2259224.472	29.25
2.029918454	ANC	3031	1	1325319.168	31.625
0.90218598	ANC	3031	1	2579695.067	36.98
0.400971546	ANC	3031	1	1608874.743	38.645
0	ANC	3031	1	0.32231769	172.095
2000	ANC	97	1	0.00207054	32234
888.8888889	ANC	97	1	0.005003197	45333
395.0617284	ANC	97	1	0.00306844	7.535
175.5829904	ANC	97	1	0.004752593	10.305
78.03688462	ANC	97	1	0.010336601	19.42
34.68305983	ANC	97	1	0.004754021	9.845
15.41469326	ANC	97	1	0.013000082	23.43
6.850974782	ANC	97	1	0.015090686	33.315
3.044877681	ANC	97	1	0.006367342	45459
1.353278969	ANC	97	1	0.010046146	22.52
0.60145732	ANC	97	1	0.302603024	550.725
0.267314364	ANC	97	1	0.594568185	1024.885
2000	ANC	1279	1	0.001754907	17227
888.8888889	ANC	1279	1	0.010215523	17.76
395.0617284	ANC	1279	1	0.003541741	28976
175.5829904	ANC	1279	1	0.00393614	35612
78.03688462	ANC	1279	1	0.004931535	17838
34.68305983	ANC	1279	1	0.00359785	7.875
15.41469326	ANC	1279	1	0.010518726	17.985
6.850974782	ANC	1279	1	0.016796176	35.96
3.044877681	ANC	1279	1	0.012550719	45441
1.353278969	ANC	1279	1	0.022866295	54.305
0.60145732	ANC	1279	1	0.015723215	37.35
0.267314364	ANC	1279	1	0.159569471	340.895
2000	ANC	1842	1	0.002027924	45601
888.8888889	ANC	1842	1	0.003722394	8.525
